pair,date,open,high,low,close,day_of_week,month,week_of_year,is_month_end,is_month_start,max_up_pips,max_down_pips,max_profit,max_loss,daily_return,return_3d,return_5d,return_10d,rolling_std_5,rolling_std_10,rolling_std_20,label,rsi_14,atr_14,momentum_5d,momentum_10d,dist_from_mean_20d,daily_range,candle_body,upper_wick,lower_wick
GBPUSD,2021-09-08,1.37844,1.37904,1.3725,1.37718,2,9,36,0,0,6,59,0.043527465830934524,-0.43092191172630334,-0.0914076782449754,-0.006721961774251661,0.00020335536349769257,0.0010394330365255389,0.32564522538387947,0.3017962742146504,0.40757685796253684,2.0,47.90565305210343,0.007698820952469181,0.000280000000000058,0.0014300000000000423,0.0007125000000001158,0.00653999999999999,0.0012600000000000389,0.0005999999999999339,0.0046800000000000175
GBPUSD,2021-09-09,1.37719,1.38626,1.3751,1.38359,3,9,36,0,0,91,21,0.6585874135014148,-0.15175829043196112,0.4647143821840257,9.396729938004889e-05,0.00016626185519319492,0.010045042085514266,0.32360439914951067,0.2829318450335691,0.4093842135784537,1.0,53.80675744964136,0.007946048027292815,0.0002300000000001745,0.013759999999999994,0.006992000000000109,0.011160000000000059,0.006400000000000183,0.00266999999999995,0.0020899999999999253
GBPUSD,2021-09-10,1.38369,1.38884,1.38242,1.38313,4,9,36,0,0,51,13,0.3721931935621409,-0.09178356423766193,-0.04047149289220244,0.0032859422602640187,-0.0024305805986296614,0.005203601822714177,0.3018701455464634,0.260063009359561,0.4003383535636508,1.0,53.33979865707114,0.007837044596771906,-0.003370000000000095,0.007160000000000055,0.006690499999999933,0.006420000000000092,0.000560000000000116,0.005149999999999988,0.0007099999999999884
GBPUSD,2021-09-13,1.38335,1.38511,1.3795,1.3838,0,9,37,0,0,18,39,0.12722738280261567,-0.2783098998807338,0.03252972855747565,0.004806924294572967,0.0002457606291472736,0.006034169392947986,0.2938188968891962,0.25990207347900995,0.3981664059980765,0.0,53.96643844663175,0.007677969982716778,0.00034000000000000696,0.008299999999999974,0.0073704999999999465,0.005610000000000115,0.0004499999999998394,0.0013100000000001444,0.003850000000000131
GBPUSD,2021-09-14,1.38363,1.39131,1.3801,1.3808,1,9,37,0,0,77,35,0.5550616855662375,-0.25512600912092187,-0.20453444923858896,-0.0020164933253348227,0.0015958218482519104,0.003780168653678473,0.2567450083384482,0.2740399060820469,0.36154893508999725,2.0,50.68416477771324,0.007930257841094147,0.0021999999999999797,0.0052000000000000934,0.0040240000000000276,0.011209999999999942,0.002829999999999888,0.007680000000000131,0.0006999999999999229
GBPUSD,2021-09-15,1.38066,1.38537,1.379,1.38407,2,9,37,0,0,47,17,0.34114119334231396,-0.12023235264293851,0.2469833268147055,0.0006796179679422476,0.005002977098127914,0.0052073498438520716,0.260598477708745,0.2812014941675016,0.3642532346615122,0.0,53.970405419455496,0.007818810852444565,0.006889999999999841,0.007169999999999899,0.006855499999999903,0.006369999999999987,0.003409999999999913,0.0013000000000000789,0.0016599999999999948
GBPUSD,2021-09-16,1.38415,1.38531,1.3763,1.37918,3,9,37,0,0,12,78,0.08380594588737131,-0.567135064841232,-0.3590651302243195,-0.0033386327503973634,-0.003187360417464702,-0.0030216284987276687,0.23097154375169618,0.26872053400549417,0.3150212136792067,0.0,48.739902862897424,0.007903895791555666,-0.004410000000000025,-0.0041799999999998505,0.001167499999999988,0.009009999999999962,0.004969999999999919,0.0011600000000000499,0.0028799999999999937
GBPUSD,2021-09-17,1.37927,1.38127,1.37233,1.3738,4,9,37,0,0,20,69,0.14500424137406032,-0.503164717567985,-0.39658660015806085,-0.005069524913093981,-0.006745569830746256,-0.00915975477821862,0.27268975349416313,0.27643040558923104,0.32992640061146544,0.0,43.71968191321656,0.007977903235015972,-0.00933000000000006,-0.012700000000000156,-0.004802500000000043,0.008939999999999948,0.005470000000000086,0.0020000000000000018,0.0014699999999998603
GBPUSD,2021-09-20,1.37354,1.37396,1.3639,1.36548,0,9,38,0,0,4,96,0.03057792273978821,-0.7018361314559527,-0.5868048982920014,-0.013431401590959902,-0.013238907356554308,-0.012996400329608249,0.31439615212900585,0.31890033254100647,0.3094469322012369,1.0,37.31814877323026,0.008126624432514844,-0.018319999999999892,-0.017979999999999885,-0.012787500000000174,0.01006000000000018,0.008059999999999956,0.00042000000000008697,0.0015800000000001369
GBPUSD,2021-09-21,1.36548,1.3693,1.3639,1.36593,1,9,38,0,0,38,16,0.2797551044321363,-0.1157102264405291,0.032955444239392846,-0.009607157876419303,-0.010769119351100809,-0.009190483098795887,0.34163089486480047,0.3127257919547178,0.3092608743206865,0.0,37.84822026144469,0.007931865544478075,-0.014869999999999939,-0.012669999999999959,-0.011991499999999933,0.005400000000000071,0.00045000000000006146,0.003369999999999873,0.0015800000000001369
GBPUSD,2021-09-22,1.36586,1.36895,1.3608,1.36166,2,9,38,0,0,31,51,0.22623109249848555,-0.3704625657095211,-0.30749857232805566,-0.008836803028097084,-0.016191377603733792,-0.011269405596944448,0.22541765594218674,0.32019750564642835,0.3111972007954971,2.0,34.837696199614314,0.007947446577015347,-0.02240999999999982,-0.015519999999999978,-0.015557000000000043,0.00814999999999988,0.0041999999999999815,0.003089999999999815,0.0008600000000000829
GBPUSD,2021-09-23,1.36166,1.37507,1.361,1.3718,3,9,38,0,0,134,7,0.9848273430959212,-0.048470249548353106,0.7446792885154748,0.0046284090576207415,-0.005351005670035991,-0.008521310503834312,0.5241954281838177,0.38240110874203076,0.34327555484842004,0.0,45.85235348051722,0.008384771821514253,-0.007380000000000164,-0.01179000000000019,-0.0055155000000002286,0.014070000000000027,0.010139999999999816,0.003270000000000106,0.000660000000000105
GBPUSD,2021-09-24,1.37171,1.37364,1.3656,1.36698,4,9,38,0,0,19,61,0.1407002937938768,-0.4454294275029022,-0.3448250723549366,0.0007687070347675018,-0.004964332508370806,-0.011676415087518821,0.5174064378809216,0.3905950519762739,0.336231147921588,2.0,42.20071221994602,0.008360145262834668,-0.006819999999999826,-0.016149999999999887,-0.00988599999999984,0.008040000000000047,0.004729999999999901,0.0019299999999999873,0.0013800000000001589
