pair,date,open,high,low,close,max_up_pips,max_down_pips,max_profit,max_loss,daily_return,rolling_std,label,high_impact_count,medium_impact_count,low_impact_count,max_z_score,sum_signal,dominant_direction,max_surprise_z,sum_signal_surprise
USDJPY,2025-03-05,149.754,150.184,148.382,148.863,4300,13720,0.2871375722852189,-0.916169184128628,-0.5949757602467989,0.6261904199401509,1.0,2.0,1.0,2.0,2.021983327056971,4.880124211364865,0.6237789537015419,2.121322273251584,5.078802103754091
USDJPY,2025-03-06,148.871,149.331,147.308,147.976,4600,15630,0.308992349080734,-1.049902264376552,-0.6011916357114617,0.6142635933481608,3.0,1.0,0.0,7.0,1.185239302284263,-2.176410998315796,0.024258450781591286,1.627660579559081,-3.5556929872075846
USDJPY,2025-03-07,147.948,148.2,146.943,148.018,2520,10050,0.1703301159866852,-0.6792927244707568,0.0473139211074115,0.6149777240668325,2.0,3.0,0.0,0.0,0.7958239954000302,0.7326061703076832,0.0814006855897426,0.7738080455465419,0.6665583207472183
USDJPY,2025-03-10,147.603,147.853,146.628,147.151,2500,9750,0.1693732512211811,-0.6605556797626219,-0.3062268382078942,0.5991556391476204,4.0,0.0,0.0,5.0,0.6121296852142869,-1.364195557340595,-0.272839111468119,0.6121296852142869,-1.4027268612069457
USDJPY,2025-03-11,147.14,148.125,146.538,147.708,9850,6020,0.6694304743781526,-0.4091341579447978,0.3860269131439527,0.6021352800628401,4.0,1.0,0.0,6.0,0.991697022096038,-0.15236630243262272,-0.2258919800278599,0.991697022096038,-0.3840671010259032
USDJPY,2025-03-12,147.722,149.199,147.714,148.197,14770,80,0.9998510716074814,-0.0054155779098643,0.3215499383977974,0.5160133733620733,2.0,3.0,0.0,5.0,0.9780647962958192,-8.391575776571191,-0.48424910856096903,0.9963316417276498,-9.110164426638919
USDJPY,2025-03-13,148.197,148.376,147.41,147.73,1790,7870,0.1207851710898345,-0.5310498862999967,-0.31512108882097,0.4757640334068017,6.0,3.0,0.0,2.0,0.7715919627522138,-4.904897659850227,-0.3836235432283889,0.7715919627522138,-5.190568364294748
USDJPY,2025-03-14,147.722,149.024,147.714,148.61,13020,80,0.8813853048293365,-0.0054155779098643,0.6011291479942088,0.5018333079433664,4.0,2.0,0.0,0.0,1.4733825632585382,-1.625232433633915,-0.270872072272319,1.4733825632585382,-1.625232433633915
USDJPY,2025-03-17,148.74,149.284,148.261,149.134,5440,4790,0.3657388732015481,-0.3220384563668236,0.2648917574290554,0.5003510640549304,3.0,2.0,1.0,2.0,1.7727769705532757,2.495361108362431,0.2780560139479575,1.7727769705532757,2.2005078042104187
USDJPY,2025-03-18,149.136,149.936,149.094,149.23,8000,420,0.5364231305653976,-0.028162214354684,0.0630297178414293,0.4907514196757612,2.0,0.0,0.0,6.0,1.2928002074767688,1.6622852097560266,0.27704753495933776,1.2928002074767688,1.6520581860495929
USDJPY,2025-03-19,149.23,150.147,148.593,148.798,9170,6370,0.6144877035448647,-0.4268578704013941,-0.2894860282784882,0.4884358234276633,3.0,2.0,0.0,4.0,0.5569449353934447,-2.3423148180958555,-0.1748165706094026,0.5569449353934447,-2.2158098602696494
USDJPY,2025-03-20,148.801,148.961,148.175,148.759,1600,6260,0.1075261590984099,-0.4206960974724473,-0.0282256167633292,0.4096135246664927,5.0,1.0,2.0,4.0,1.18325420766807,2.5137822300873447,0.14970109887678737,1.18325420766807,2.825539911283463
USDJPY,2025-03-21,148.758,149.662,148.577,149.275,9040,1810,0.6076984094973018,-0.1216741284502423,0.3475443337501148,0.4148353136114016,6.0,0.0,1.0,0.0,0.3278643827821145,-0.6557287655642291,-0.3278643827821145,0.3278643827821145,-0.6557287655642291
USDJPY,2025-03-24,149.362,150.757,149.346,150.663,13950,160,0.9339724963511538,-0.0107122293488244,0.8710381489267793,0.4551389629775467,1.0,2.0,0.0,1.0,1.7926796736149566,-1.7741736780716006,-0.28105632479959747,1.6709054122176183,-1.7398919142949705
USDJPY,2025-03-25,150.665,150.943,149.544,149.87,2780,11210,0.1845153154349185,-0.7440347791457744,-0.5276607042113215,0.4602004582717624,5.0,0.0,4.0,2.0,1.2185827720165587,-4.191819927549156,-0.3934176885996439,1.2185827720165587,-4.191819927549156
USDJPY,2025-03-26,149.871,150.745,149.838,150.503,8740,330,0.583168191311191,-0.0220189362852155,0.4216959918863399,0.4682191732083767,4.0,0.0,2.0,2.0,2.5961041829513998,4.2299825918319085,0.4217108841090389,2.5961041829513998,4.2299825918319085
USDJPY,2025-03-27,150.521,151.156,150.056,151.02,6350,4650,0.4218680449904128,-0.3089269935756306,0.3315152038586135,0.4611273476496715,0.0,2.0,2.0,3.0,1.4876596653051746,0.2918262825908602,0.13113641925682987,1.4876596653051746,1.0062602555711513
